PDB,TM
1NC5A1,0
1ND7A1,0
1NEUA1,0
1NF1A1,0
1NFNA1,0
1NG2A1,0
1NG6A1,0
1NH1A1,0
1NH9A1,0
1NHLA1,0
1NIGA1,0
1NIJA1,0
1NJ4A1,0
1NKDA1,0
1NKOA1,0
1NKRA1,0
1NOAA1,0
1NOGA1,0
1NOTA1,0
1NPUA1,0
1NQKA1,0
1NQYA1,0
1NRIA1,0
1NTHA1,0
1NTYA1,0
1NWAA1,0
1O0XA1,0
1O13A1,0
1O20A1,0
1O22A1,0
1O3UA1,0
1O3XA1,0
1O4WA1,0
1O50A1,0
1O59A1,0
1O5LA1,0
1O5TA1,0
1O6DA1,0
1O7FA1,0
1O89A1,0
1O8MA1,0
1O8XA1,0
1O9GA1,0
1O9ZA1,0
1OGMX1,0
1OHCA1,0
1OI7A1,0
1OISA1,0
1OJQA1,0
1OLRA1,0
1OOIX1,0
1ORCA1,0
1OUVA1,0
1OW1A1,0
1OX3A1,0
1OXJA1,0
1OYSA1,0
1OYZA1,0
1OZ9A1,0
1OZAA1,0
1P2FA1,0
1P3CA1,0
1P4PA1,0
1P4XA1,0
1P6FA1,0
1P7SA1,0
1P9HA1,0
1P9IA1,0
1PAQA1,0
1PCLA1,0
1PDBA1,0
1PDOA1,0
1PEFA1,0
1PENA1,0
1PEVA1,0
1PGSA1,0
1PGVA1,0
1PGXA1,0
1PI2A1,0
1PJBA1,0
1PJRA1,0
1PKOA1,0
1PNEA1,0
1PNZA1,0
1PQEA1,0
1PQYA1,0
1PRZA1,0
1PSWA1,0
1PTAA1,0
1PTFA1,0
1PV5A1,0
1PVTA1,0
1PZCA1,0
1Q2YA1,0
1Q42A1,0
1Q5NA1,0
1Q5ZA1,0
1Q8BA1,0
1Q8IA1,0
1QAUA1,0
1QCXA1,0
1QCZA1,0
1QGVA1,0
1QHLA1,0
1QHTA1,0
1QJ9A1,0
1QNTA1,0
1QQFA1,0
1QQHA1,0
1QTOA1,0
1QTRA1,0
1QTSA1,0
1QUUA1,0
1QW2A1,0
1QX3A1,0
1QYIA1,0
1QYSA1,0
1QYUA1,0
1QZ1A1,0
1QZMA1,0
1QZNA1,0
1R29A1,0
1R3DA1,0
1R3FA1,0
1R53A1,0
1R5BA1,0
1R5QA1,0
1R62A1,0
1R69A1,0
1R6FA1,0
1R6YA1,0
1R7JA1,0
1R9HA1,0
1R9WA1,0
1RAJA1,0
1RC9A1,0
1RCBA1,0
1RFEA1,0
1RGPA1,0
1RH1A1,2
1RHSA1,0
1RI5A1,0
1RI6A1,0
1RIQA1,0
1RISA1,0
1RJ1A1,0
1RKAA1,0
1RL0A1,0
1RL6A1,0
1RLRA1,0
1RMRA1,0
1ROAA1,0
1RSSA1,0
1RWRA1,0
1RWZA1,0
1RZ2A1,1
1S21A1,0
1S29A1,0
1S2BA1,0
1S4UX1,0
1S6YA1,0
1S7IA1,0
1S7KA1,0
1SAUA1,0
1SBXA1,0
1SCZA1,0
1SDOA1,0
1SEFA1,0
1SFEA1,0
1SFPA1,0
1SI7A1,0
1SJYA1,0
1SMBA1,0
1SNTA1,0
1SQGA1,0
1SQHA1,0
1SQWA1,0
1SR8A1,0
1SRVA1,0
1SURA1,0
1SUUA1,0
1T07A1,0
1T1UA1,0
1T2IA1,0
1T3JA1,0
1T3YA1,0
1T6LA1,0
1T95A1,0
1TD4A1,0
1TD6A1,0
1TF5A1,0
1TFEA1,0
1TG0A1,0
1TIGA1,0
1TJDA1,0
1TJEA1,0
1TJNA1,0
1TK1A1,0
1TM2A1,0
1TOLA1,0
1TP6A1,0
1TPEA1,0
1TQGA1,0
1TR9A1,0
1TS9A1,0
1TTZA1,0
1TUAA1,0
1TUCA1,0
1TUDA1,0
1TULA1,0
1TUOA1,0
1TVLA1,0
1TWUA1,0
1TXDA1,0
1TXJA1,0
1TYCA1,0
1TYVA1,0
1TZVA1,0
1U04A1,0
1U2CA1,0
1U2HA1,0
1U2KA1,0
1U3YA1,0
1U53A1,0
1U5XA1,0
1U61A1,0
1U7UA1,0
1U9CA1,0
1U9PA1,0
1U9TA1,0
1UAIA1,0
1UAJA1,0
1UB9A1,0
1UBVA1,0
1UCHA1,0
1UCSA1,0
1UEKA1,0
1UFAA1,0
1UJ8A1,0
1UKFA1,0
1ULRA1,0
1ULYA1,0
1UN2A1,0
1UNPA1,0
1UOKA1,0
1UOYA1,0
1UPIA1,0
1USEA1,0
1USGA1,0
1USMA1,0
1UT9A1,0
1UTGA1,0
1UX5A1,0
1UXOA1,0
1UZQA1,0
1V05A1,0
1V0SA1,0
1V2ZA1,0
1V43A1,0
1V4AA1,0
1V6TA1,0
1V77A1,0
1V7QA1,0
1V8EA1,0
1V8IA1,0
1VAJA1,0
1VCCA1,0
1VCMA1,0
1VF8A1,0
1VGJA1,0
1VHFA1,0
1VI4A1,0
1VINA1,0
1VJ1A1,0
1VJGA1,0
1VJKA1,0
1VJSA1,0
1VJVA1,0
1VJXA1,0
1VJZA1,0
1VK4A1,0
1VKUA1,0
1VLOA1,0
1VPKA1,0
1VPRA1,0
1VSMA1,0
1W24A1,0
1W28A1,0
1W41A1,0
1W7BA1,0
1W8IA1,0
1WDEA1,0
1WERA1,0
1WGBA1,0
1WHIA1,0
1WHOA1,0
1WJ9A1,0
1WJGA1,0
1WKAA1,0
1WKXA1,0
1WLYA1,0
1WNAA1,0
1WNHA1,0
1WOUA1,0
1WPAA1,0
1WR2A1,0
1WRUA1,0
1WS6A1,0
1WU3I1,0
1WV8A1,0
1WVHA1,0
1WWBX1,0
1WWCA1,0
1WWIA1,0
1WXRA1,0
1WY3A1,0
1WY6A1,0
1WYCA1,0
1X1HA1,0
1X3OA1,0
1X56A1,0
1X6JA1,0
1X6ZA1,0
1X7FA1,0
1X8FA1,0
1X8YA1,0
1X91A1,0
1X9GA1,0
1XAKA1,0
1XAWA1,0
1XDZA1,0
1XFKA1,0
1XG8A1,0
1XGWA1,0
1XIPA1,0
1XIXA1,0
1XJCA1,0
1XKRA1,0
1XKSA1,0
1XQOA1,0
1XTEA1,0
1XTZA1,0
1XWMA1,0
1XY2A1,0
1Y0KA1,0
1Y6XA1,0
1Y9UA1,0
1YB2A1,0
1YDLA1,0
1YG2A1,0
1YGSA1,0
1YHFA1,0
1YJLA1,0
1YJPA1,0
1YLNA1,0
1YM5A1,0
1YOYA1,0
1YP5A1,0
1YPCI1,0
1YR6A1,0
1YRWA1,0
1YTQA1,0
1YU5X1,0
1YVRA1,0
1YW5A1,0
1YZ7A1,0
1YZFA1,0
1YZMA1,0
1Z0CA1,0
1Z0PA1,0
1Z21A1,0
1Z27A1,0
1Z3XA1,0
1Z91A1,0
1Z9FA1,0
1Z9LA1,0
1ZBMA1,0
1ZBPA1,0
1ZBSA1,0
1ZCEA1,0
1ZCJA1,0
1ZCUA1,0
1ZD8A1,0
1ZEQX1,0
1ZGKA1,0
1ZHVA1,0
1ZJHA1,0
1ZJKA1,0
1ZLBA1,0
1ZLMA1,0
1ZNWA1,0
1ZOXA1,0
1ZTYA1,0
1ZUHA1,0
1ZVAA1,0
1ZX3A1,0
1ZZKA1,0
2A0JA1,0
2A1VA1,0
2A2FX1,0
2A4DA1,0
2A6BA1,0
2A6ZA1,0
2A90A1,0
2AD1A1,0
2AH5A1,0
2AHEA1,0
2AP3A1,0
2APLA1,0
2AQ5A1,0
2ATRA1,0
2AUDA1,0
2AXOA1,0
2B02A1,0
2B0AA1,0
2B0JA1,0
2B1EA1,0
2B1KA1,0
2B2HA1,11
2B3MA1,0
2B4WA1,0
2B61A1,0
2B6PA1,6
2B78A1,0
2B8IA1,0
2BDDA1,0
2BDVA1,0
2BFIA1,0
2BH0A1,0
2BJQA1,0
2BJVA1,0
2BK8A1,0
2BL7A1,0
2BLLA1,0
2BNHA1,0
2BOEX1,0
2BQQA1,0
2BTZA1,0
2BV9A1,0
2BZVA1,0
2C2YA1,0
2CAUA1,1
2CBEA1,0
2CE6A1,0
2CG7A1,0
2CGQA1,0
2CI2I1,0
2CI3A1,0
2CIUA1,0
2CJJA1,0
2CKWA1,0
2CKXA1,0
2CL3A1,0
2CMPA1,0
2CROA1,0
2CUWA1,0
2CVBA1,0
2CW4A1,0
2CWCA1,0
2CWRA1,0
2CWYA1,0
2CXAA1,0
2CXCA1,0
2CXHA1,0
2CXYA1,0
2CY7A1,0
2CY8A1,0
2CYGA1,0
2CZTA1,0
2D0AA1,0
2D27A1,0
2D4LA1,0
2D4PA1,0
2D4XA1,0
2D59A1,0
2D7JA1,0
2D7UA1,0
2D8EA1,0
2D8NA1,0
2DBIA1,0
2DG6A1,0
2DG7A1,0
2DMAA1,0
2DP9A1,0
2DQXA1,0
2DVKA1,0
2DWKA1,0
2DYIA1,0
2E01A1,0
2E0TA1,0
2E3HA1,0
2E3IA1,0
2E3SA1,0
2E3UA1,0
2E7VA1,0
2E8BA1,0
2E8FA1,0
2EA9A1,0
2EBBA1,0
2ECEA1,0
2EDMA1,0
2EEYA1,0
2EF4A1,0
2EFKA1,0
2EGUA1,0
2EJBA1,0
2EJXA1,0
2ENDA1,0
2ENGA1,0
2ERFA1,0
2ERWA1,0
2ES9A1,0
2ESKA1,0
2ET6A1,0
2EVBA1,0
2EYIA1,0
2F15A1,0
2F1NA1,0
2F1SA1,0
2F1YA1,0
2F3LA1,0
2F4QA1,0
2F5UA1,0
2F68X1,0
2F6EA1,0
2F6HX1,0
2F82A1,0
2F8HA1,0
2F9FA1,0
2FB6A1,0
2FBIA1,0
2FBOJ1,0
2FBQA1,0
2FC3A1,0
2FCBA1,0
2FD4A1,0
2FD5A1,0
2FEZA1,0
2FG1A1,0
2FGGA1,0
2FGTA1,0
2FH7A1,0
2FHTA1,0
2FI0A1,0
2FI9A1,0
2FJ8A1,0
2FJZA1,0
2FK7A1,0
2FK9A1,0
2FL4A1,0
2FL7A1,0
2FM9A1,0
2FO3A1,0
2FP3A1,0
2FPHX1,0
2FPNA1,0
2FQ3A1,0
2FQ4A1,0
2FR2A1,0
2FRGP1,0
2FU2A1,0
2FUJA1,0
2FUKA1,0
2FWGA1,0
2FX0A1,0
2FXQA1,0
2FZ4A1,0
2FZPA1,0
2G3AA1,0
2G40A1,0
2G5DA1,0
2G5XA1,0
2G69A1,0
2G7IA1,0
2G7LA1,0
2G7OA1,0
2G7SA1,0
2GAUA1,0
2GCAA1,0
2GEEA1,0
2GENA1,0
2GG4A1,0
2GGOA1,0
2GKGA1,0
